Date,Open,High,Low,Close,Volume,Market Cap
"Oct 22, 2016",633.14,658.2,632.85,657.29,78556500,10088400000
"Oct 21, 2016",630.83,634.09,630.69,632.83,55951000,10050300000
"Oct 20, 2016",630.66,631.92,628.26,630.86,56957300,10046700000
"Oct 19, 2016",638.13,638.87,628.01,630.52,69381700,10164800000
"Oct 18, 2016",639.41,640.74,636,637.96,65546700,10184000000
"Oct 17, 2016",641.82,642.33,638.66,639.19,58063600,10221300000
"Oct 16, 2016",639.08,642.9,638.9,641.63,40298100,10176800000
"Oct 15, 2016",640.31,642.1,637.39,638.65,39035400,10195200000
"Oct 14, 2016",637.01,641.28,637.01,640.38,58144600,10141600000
"Oct 13, 2016",636.03,638.83,635.03,636.79,61620700,10125100000
"Oct 12, 2016",640.87,641.34,635.97,636.19,92370200,10201000000
"Oct 11, 2016",619.24,642.08,618.5,641.07,103590000,9855650000
"Oct 10, 2016",616.82,621.32,616.2,618.99,67481100,9816270000
"Oct 09, 2016",619.17,619.2,616.61,616.75,39243400,9852480000
"Oct 08, 2016",617.34,619.85,617.34,619.11,42345900,9822100000
"Oct 07, 2016",612.61,617.91,611.82,617.12,64071400,9745740000
"Oct 06, 2016",612.47,613.82,611.47,613.02,56812100,9742370000
"Oct 05, 2016",610.22,613.81,609.62,612.51,68077500,9705320000
"Oct 04, 2016",612.05,612.05,609.48,610.2,49801600,9733330000
"Oct 03, 2016",610.97,612.57,610.46,612.13,46798300,9714980000
"Oct 02, 2016",613.95,614,609.68,610.89,39249800,9761330000
"Oct 01, 2016",609.93,615.24,609.93,613.98,56357000,9696280000
"Sep 30, 2016",605.72,609.74,604.14,609.74,56122400,9628250000
"Sep 29, 2016",605.02,606.82,604.85,605.69,55658600,9616160000
"Sep 28, 2016",606.24,606.59,604.61,604.73,48722600,9634530000
"Sep 27, 2016",608.02,608.25,604.11,606.17,49422400,9661590000
"Sep 26, 2016",600.81,608.14,600.35,608.04,59153800,9545830000
"Sep 25, 2016",602.75,603.38,599.71,600.83,33977800,9575360000
"Sep 24, 2016",602.96,604.58,602.04,602.63,35359500,9577520000
"Sep 23, 2016",596.2,603.21,595.79,602.84,51067000,9469130000
"Sep 22, 2016",597.28,598.49,596.21,596.3,67085300,9485280000
"Sep 21, 2016",603.59,603.59,595.88,597.15,82776200,9584260000
"Sep 20, 2016",609.25,609.52,607.94,608.31,72710900,9673140000
"Sep 19, 2016",609.87,610.93,608.27,609.23,54796400,9681960000
"Sep 18, 2016",606.28,610.16,605.86,609.87,48679400,9623950000
"Sep 17, 2016",607.22,607.86,605.19,605.98,37140300,9637600000
"Sep 16, 2016",607.25,609.26,606.74,606.97,64963400,9637020000
"Sep 15, 2016",610.59,611.09,607.15,607.15,59464600,9688940000
"Sep 14, 2016",608.84,611.95,608.41,610.68,47877700,9660080000
"Sep 13, 2016",608.02,611.19,606.92,609.24,86920600,9645930000
"Sep 12, 2016",607,608.46,605.41,608.24,72812300,9628560000
"Sep 11, 2016",623.42,628.82,600.51,606.72,73610800,9887780000
"Sep 10, 2016",622.93,625.1,622.39,623.51,45016800,9878730000
"Sep 09, 2016",626.35,626.83,620.26,622.86,64550200,9931980000
"Sep 08, 2016",614.63,628.77,613.84,626.32,86713000,9745120000
"Sep 07, 2016",610.57,614.54,608.51,614.54,75032400,9679610000
"Sep 06, 2016",606.51,610.83,605.09,610.44,78529100,9614140000
"Sep 05, 2016",608.99,609.05,602.24,606.59,82446800,9652490000
"Sep 04, 2016",598.59,611.84,596.85,608.63,97942900,9486370000
"Sep 03, 2016",575.55,599.5,574.06,598.21,159014000,9120440000
"Sep 02, 2016",572.41,575.64,570.81,575.54,79910800,9069550000
"Sep 01, 2016",575.55,576.31,571.81,572.3,76923400,9118280000
"Aug 31, 2016",577.59,577.86,573.64,575.47,75840900,9149730000
"Aug 30, 2016",574.11,578.36,574.11,577.5,70342400,9093530000
"Aug 29, 2016",574.07,576.28,573.47,574.11,110398000,9091830000
"Aug 28, 2016",569.83,574.04,569.74,573.91,86301600,9023610000
"Aug 27, 2016",579.45,579.85,568.63,569.95,59698300,9174990000
"Aug 26, 2016",577.75,580.62,576.86,579.65,48856800,9147170000
"Aug 25, 2016",580.18,580.45,575.17,577.76,136130000,9184700000
"Aug 24, 2016",583.41,583.59,579.86,580.18,56328200,9234800000
"Aug 23, 2016",586.77,589.47,581.63,583.41,85349200,9286930000
"Aug 22, 2016",581.31,588.45,580.59,586.75,72844000,9199410000
"Aug 21, 2016",581.94,584.16,580.22,581.31,38299400,9208210000
